county,fips,state,lat,lng
Tolland County,9013,Connecticut,41.855,-72.3365
Merrimack County,33013,New Hampshire,43.2975,-71.6802
Johnson County,19103,Iowa,41.6715,-91.5881
Washington County,24043,Maryland,39.6036,-77.814
Santa Fe County,35049,New Mexico,35.5069,-105.9763
Stafford County,51179,Virginia,38.4207,-77.458
Cumberland County,34011,New Jersey,39.3738,-75.1107
Monroe County,26115,Michigan,41.9291,-83.5394
Comal County,48091,Texas,29.8082,-98.2783
Citrus County,12017,Florida,28.8489,-82.4794
Monroe County,18105,Indiana,39.1609,-86.5231
Scott County,27139,Minnesota,44.6485,-93.5359
Orange County,37135,North Carolina,36.0611,-79.1207
Coweta County,13077,Georgia,33.3534,-84.7634
Douglas County,13097,Georgia,33.7018,-84.768
Sandoval County,35043,New Mexico,35.6886,-106.8659
Canadian County,40017,Oklahoma,35.5424,-97.9824
Randolph County,37151,North Carolina,35.7103,-79.806
Jackson County,28059,Mississippi,30.5423,-88.6357
Rock Island County,17161,Illinois,41.4673,-90.5674
Coconino County,4005,Arizona,35.8387,-111.7705
Schuylkill County,42107,Pennsylvania,40.7058,-76.2159
Sussex County,34037,New Jersey,41.1393,-74.6908
Rowan County,37159,North Carolina,35.6394,-80.5248
Wilson County,47189,Tennessee,36.1549,-86.2977
Livingston Parish,22063,Louisiana,30.4401,-90.7279
Lebanon County,42075,Pennsylvania,40.3672,-76.4577
Napa County,6055,California,38.5065,-122.3305
Parker County,48367,Texas,32.7776,-97.8051
Florence County,45041,South Carolina,34.0245,-79.703
Taylor County,48441,Texas,32.3015,-99.8902
Brunswick County,37019,North Carolina,34.071,-78.2377
Wright County,27171,Minnesota,45.1739,-93.9631
Humboldt County,6023,California,40.6993,-123.8756
Randall County,48381,Texas,34.9659,-101.8969
Washington County,55131,Wisconsin,43.3685,-88.2307
Marathon County,55073,Wisconsin,44.8983,-89.7591
Hampton City,51650,Virginia,37.0551,-76.363
Spotsylvania County,51177,Virginia,38.1849,-77.6561
Clark County,39023,Ohio,39.9168,-83.7839
Harnett County,37085,North Carolina,35.3688,-78.8693
Calhoun County,26025,Michigan,42.2465,-85.0056
Tangipahoa Parish,22105,Louisiana,30.6266,-90.4057
Grayson County,48181,Texas,33.6268,-96.6777
Tazewell County,17179,Illinois,40.5075,-89.5134
Boone County,21015,Kentucky,38.9699,-84.7278
Wichita County,48485,Texas,33.988,-98.7036
Black Hawk County,19013,Iowa,42.4701,-92.3088
Robeson County,37155,North Carolina,34.6402,-79.1039
Blount County,47009,Tennessee,35.6872,-83.9255
Cambria County,42021,Pennsylvania,40.4953,-78.7135
Warren County,21227,Kentucky,36.9936,-86.4238
Wood County,39173,Ohio,41.3617,-83.623
Rapides Parish,22079,Louisiana,31.1986,-92.5332
Fayette County,42051,Pennsylvania,39.9201,-79.6474
Strafford County,33017,New Hampshire,43.297,-71.0289
Sumter County,12119,Florida,28.7048,-82.081
Kaufman County,48257,Texas,32.5993,-96.2878
